"Ja","Nein","Abstimmung_de","Abstimmung_fr","Abstimmung_it"
50,50,"<b>NA</b><br>Es sind noch keine Gemeinden ausgezählt.","<b>Modification de la Loi générale sur les zones de développement</b><br>Aucun résultat n'est encore connu.","<b>NA</b><br>Nessun risultato è ancora noto."
50,50,"<b>NA</b><br>Es sind noch keine Gemeinden ausgezählt.","<b>Renforcement du pouvoir d'achat et des recettes fiscales</b><br>Aucun résultat n'est encore connu.","<b>NA</b><br>Nessun risultato è ancora noto."
50,50,"<b>NA</b><br>Es sind noch keine Gemeinden ausgezählt.","<b>Plus d’autonomie pour les TPG en matière de tarification</b><br>Aucun résultat n'est encore connu.","<b>NA</b><br>Nessun risultato è ancora noto."
