"ID","Gemeinde_color","Ja_Stimmen_In_Prozent","Nein_Stimmen_In_Prozent","Gemeinde_de","Text_de"
2701,40.5,40.5,59.5,"Basel BS","Nein zum Bundesbeschluss über den Ausbau der Autobahnen in Basel. Die Gemeinde hat die Vorlage mit 59,5 Prozent abgelehnt. Basel hat damit bei dieser Vorlage den höchsten Nein-Anteil im Kanton Basel-Stadt."
2702,72.4,72.4,27.6,"Bettingen BS","In Bettingen hat die Stimmbevölkerung dem Bundesbeschluss über den Ausbau der Autobahnen zugestimmt. Die Vorlage wurde mit einem Ja-Stimmen-Anteil von 72,4 Prozent angenommen. Bettingen hat damit bei dieser Vorlage den höchsten Ja-Anteil im Kanton Basel-Stadt."
2703,57.8,57.8,42.2,"Riehen BS","Die Gemeinde Riehen hat den Bundesbeschluss über den Ausbau der Autobahnen mit 57,8 Prozent angenommen. Riehen hat damit anders abgestimmt als der Kanton Basel-Stadt, der die Vorlage abgelehnt hat."
