"ID","Gemeinde_color","Ja_Stimmen_In_Prozent","Nein_Stimmen_In_Prozent","Gemeinde_de","Text_de"
6404,91.7,91.7,8.3,"Boudry NE",
6408,94.6,94.6,5.4,"Cortaillod NE",
6413,92,92,8,"Rochefort NE",
6416,91.1,91.1,8.9,"Milvignes NE",
6417,92.5,92.5,7.5,"La Grande Béroche NE",
6421,91.5,91.5,8.5,"La Chaux-de-Fonds NE",
6422,89.2,89.2,10.8,"Les Planchettes NE",
6423,91.4,91.4,8.6,"La Sagne NE",
6432,82.9,82.9,17.1,"La BréviNE",
6433,90.6,90.6,9.4,"Brot-Plamboz NE",
6434,85.3,85.3,14.7,"Le Cerneux-Péquignot NE",
6435,91.7,91.7,8.3,"La Chaux-du-Milieu NE",
6436,89.6,89.6,10.4,"Le Locle NE",
6437,88,88,12,"Les Ponts-de-Martel NE",
6451,89.2,89.2,10.8,"Cornaux NE",
6452,91.2,91.2,8.8,"Cressier NE",
6453,94.8,94.8,5.2,"Enges NE",
6454,91.3,91.3,8.7,"Hauterive NE",
6455,92.4,92.4,7.6,"Le Landeron NE",
6456,94.3,94.3,5.7,"Lignières NE",
6458,92.1,92.1,7.9,"Neuenburg NE",
6459,90,90,10,"Saint-Blaise NE",
6461,92.3,92.3,7.7,"La Tène NE",
6487,91.9,91.9,8.1,"Val-de-Ruz NE",
6504,87.3,87.3,12.7,"La Côte-aux-Fées NE",
6511,87.8,87.8,12.2,"Les Verrières NE",
6512,89.5,89.5,10.5,"Val-de-Travers NE",
