"ID","Gemeinde_color","Ja_Stimmen_In_Prozent","Nein_Stimmen_In_Prozent","Gemeinde_de","Text_de"
2701,31.4,31.4,68.6,"Basel BS","Nein zur Änderung des Mietrechts zur vereinfachten Kündigung für Eigenbedarf in Basel. Die Gemeinde hat die Vorlage mit 68,6 Prozent abgelehnt. Basel hat damit gleich wie der Kanton Basel-Stadt Nein gesagt zu dieser Vorlage."
2702,60.3,60.3,39.7,"Bettingen BS","In Bettingen hat die Stimmbevölkerung der Änderung des Mietrechts zur vereinfachten Kündigung für Eigenbedarf zugestimmt. Die Vorlage wurde mit einem Ja-Stimmen-Anteil von 60,3 Prozent angenommen. Bettingen hat damit anders abgestimmt als der Kanton Basel-Stadt, der die Vorlage abgelehnt hat."
2703,46.6,46.6,53.4,"Riehen BS","Nein zur Änderung des Mietrechts zur vereinfachten Kündigung für Eigenbedarf in Riehen. Die Gemeinde hat die Vorlage mit 53,4 Prozent abgelehnt. Riehen hat damit gleich wie der Kanton Basel-Stadt Nein gesagt zu dieser Vorlage."
